program	ID	Name	Proponent	Project Type	Distinctions	Status	region	country_area	trop_subtrop	yearMR	mammals	birds	reptiles	amphibians	fish	plants	invertebrates	fungi	protists	prokaryotes	camtrap	accous	traps	DNA	formal_obs	incidental_obs	camtrap_n	accous_n	traps_n	DNA_n	formal_obs_n	incidental_obs_n	animal_mon	sample_based_n_provided	raw_data_avail	mon_results_in_unavail.report	taxa_notes	methods_notes	data_notes	lat_approx	lon_approx	kml	area_ha	ann_emiss_red	notes
CCB	1360	Forest Management to reduce deforestation and degradation in Shipibo Conibo and Cacataibo Indigenous communities of Ucayali region	Multiple Proponents	Reduced Emissions from Deforestation and Degradation	Climate Gold; Community Gold	Under Verification	South America	Peru	1	2020	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	"yes, incidental"	NA	N	N	fauna and tree monitoring	"difficult to locate methods for the extensive fauna sightings reported in 5.3.1; tree census plots; fauna apparently from a sightings database and ""fauna monitoring sheets"" filled out by community"	kml file didn't work	-9.234554	-75.183197	0	127004	564818	
CCB	1382	"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil"	Multiple Proponents	Reduced Emissions from Deforestation and Degradation	Climate Gold; Community Gold; Biodiversity Gold	Verification approved	South America	Brazil	1	2021	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	NA	NA	"yes, sample based"	N	Y	N	"formal bird and (targeted) plant monitoring; many bird species listed as documented en route, but only 8 species documented on site in 2015"	bird survey used strip transects and followed FAO protocol (number of transects unreported); veg surveys involved documenting individual plants with GPS	bird lists from initial inventory posted in full in report (and available via eBird)	-8.772744	-70.197731	1	39301	1259646	
CCB	1389	Acapa -_ Bajo Mira Y Frontera REDD+ Project	Multiple Proponents	Reduced Emissions from Deforestation and Degradation	Community Gold	Verification public comment period requested 	South America	Colombia	1	2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	none	NA	N	N	no 'in field' biodiversity monitoring during the reporting period (2013-2018)	"""in-field and community-based monitoring did not take place during this monitoring period""; only remote sensing"	remotely-sensed imagery available to auditors	1.611633	-78.882122	1	58212	404786	
CCB	1390	Carmen del Darién (CDD) REDD+ Project	Multiple Proponents	Reduced Emissions from Deforestation and Degradation	Community Gold	Verification public comment period requested 	South America	Colombia	1	2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	none	NA	N	N	no 'in field' biodiversity monitoring during the reporting period	"""in-field and community-based monitoring did not take place during this monitoring period""; local (transects) and community-based monitoring planned in future"		6.940531	-77.072839	1	118318	462190	
CCB	1391	SIVIRÚ-USARAGÁ-PIZARRO-PILIZÁ (SUPP) REDD+ Project	Multiple Proponents	Reduced Emissions from Deforestation and Degradation	Community Gold	Verification public comment period requested 	South America	Colombia	1	2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	none	NA	N	N	no 'in field' biodiversity monitoring during the reporting period	as in 1390 & 1391: the only things monitored were forest cover and aboveground biomass		4.872028	-77.298475	1	47667	312078	
CCB	1392	Cajambre REDD+ Project	Consejo Comunitario de Cajambre	Reduced Emissions from Deforestation and Degradation	Community Gold	Under Verification	South America	Colombia	1	2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	none	NA	N	N	no 'in field' biodiversity monitoring during the reporting period	"MR discusses plans for future ""in-field"" monitoring"		3.445772	-77.188664	1	60316	297488	
CCB	1395	Bajo Calima y Bahía Málaga (BCBM) REDD+ Project	Multiple Proponents	Reduced Emissions from Deforestation and Degradation	Community Gold	Verification public comment period requested 	South America	Colombia	1	2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	none	NA	N	N	no 'in field' biodiversity monitoring during the reporting period	"MR discusses plans for future ""in-field"" monitoring"		4.014428	-77.030008	1	83452	498719	
CCB	1399	Mutatá REDD+ Project	Cabildo Mayor Indígena de Mutatá	Reduced Emissions from Deforestation and Degradation	Community Gold	Verification public comment period requested 	South America	Colombia	1	2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	none	NA	N	N	no 'in field' biodiversity monitoring during the reporting period	"MR discusses plans for future ""in-field"" monitoring"		7.271278	-76.376769	1	34288	156476	
CCB	1400	Concosta REDD+ Project	Consejo Comunitario de Concosta	Reduced Emissions from Deforestation and Degradation	Community Gold	Verification public comment period requested 	South America	Colombia	1	2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	none	NA	N	N	no 'in field' biodiversity monitoring during the reporting period	"MR discusses plans for future ""in-field"" monitoring"		4.645778	-77.257869	1	52212	333978	
CCB	1503	RESEX Rio Preto-Jacundá REDD+ Project	Multiple Proponents	Reduced Emissions from Deforestation and Degradation	Community Gold; Biodiversity Gold	Verification approved	South America	Brazil	1	2020	1	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	100	0	3	0	"yes, sample based"	Y	N	Y	"frugivorous butterflies' monitored using traps (identified to ""tribe"" level, 10 tribes total), but species not listed; mammal and bird species numbers are max from table"	"monitoring leverages 2 ongoing standardized biodiversity surveys for mammals, birds, and frugivorous butterflies using 3 5000-m transects; Monitora Program and Ecoporé (methods of Pereira et al. 2013)"	Pereira et al. 2013 not readily available	-8.919883	-62.302275	1	94289	414290	
